net,size,logtable,sizetable,logtree,sizetree,loglrdummy,sizelrdummy,logtreedummy,sizetreedummy,  loglgpair,sizelgpair,   logtreepair,sizetreepair,loglgld,sizelgld,  logtreeld,sizetreeld,loglgldpair,sizeldlgpair,logtreeldpair,sizetreeldpair
alarm.bif,5000,-0.8465499467607819,72,-0.84820147532597,57,-0.926210661893175,23,-0.8485957291066241,45,-0.8966545346631563,26,-0.8468697585464975,45,-0.8462054197252906,47,-0.8484635730101527,33,-0.8461364067956807,50,-0.8484635730101527,33
alarm.bif,5000,-0.35099254507756233,72,-0.35220255185544214,54,-0.42472019259814153,23,-0.35279863255192656,51,-0.35609301225934015,28,-0.3511377944034074,45,-0.35084240872860356,37,-0.35078389110320835,33,-0.3510468765171685,36,-0.35078389110320835,33
alarm.bif,5000,-0.8473761550846013,72,-0.8493941141367198,51,-0.9239828046345636,25,-0.8492201432358932,39,-0.8937075092593865,29,-0.8471556716974801,36,-0.8468454441434544,41,-0.8503666341042581,30,-0.8468962262077432,42,-0.847423102357378,30
alarm.bif,5000,-0.3514817824533693,72,-0.35309197826399213,51,-0.42190705039536985,23,-0.35289888489048815,51,-0.35879597954123943,30,-0.3519234155410918,45,-0.3509264171121664,34,-0.3504909645278007,27,-0.3509248366137449,34,-0.3505495961709326,27
alarm.bif,5000,-0.8478093296687166,72,-0.8519473179677981,51,-0.9255475575649192,25,-0.8491784574222145,42,-0.8891799689642444,33,-0.8481925709364628,33,-0.8472362926727052,42,-0.8506524645604276,21,-0.8473518131011406,41,-0.8506524645604276,21
alarm.bif,5000,-0.3510858143790284,72,-0.3545822360041123,48,-0.424562027886929,23,-0.35297791579259225,48,-0.3587848209202237,29,-0.35100669693841396,39,-0.3520557035303426,32,-0.35095253905619267,30,-0.3517852816169564,34,-0.35095253905619267,30
alarm.bif,5000,-0.843852561143684,72,-0.84484022677264,57,-0.923155455665826,22,-0.8459790731621267,42,-0.8874988755072918,25,-0.8438941497862248,39,-0.842964578463318,41,-0.8444743696674899,33,-0.8428058015733686,48,-0.8444743696674899,33
alarm.bif,5000,-0.35059028587374563,72,-0.3514882080176825,51,-0.4223241927765306,23,-0.351777508526636,45,-0.35742403977911524,27,-0.35053561879239875,42,-0.3500658582197104,32,-0.35018754772907407,33,-0.3500803534201613,33,-0.35018754772907407,33
alarm.bif,5000,-0.8475494224167902,72,-0.8491134804215895,54,-0.9256311869625735,23,-0.8482440293953905,42,-0.8909036992699759,27,-0.8473889039062573,33,-0.8480925369870176,42,-0.8476736356367677,33,-0.848191252227076,40,-0.8476736356367677,33
alarm.bif,5000,-0.3505300060603349,72,-0.3516635982185712,51,-0.42297707165865905,25,-0.3529445886624417,42,-0.3570831965115827,30,-0.351468018571216,36,-0.3496505197382662,40,-0.3508617054273626,30,-0.3496208361233008,42,-0.3508617054273626,30
alarm.bif,5000,-0.844815532028959,72,-0.8471494061521083,51,-0.9253024349508981,23,-0.847322193353641,39,-0.8896709054932331,26,-0.846341070391989,33,-0.8455351297445471,44,-0.8467289703914397,39,-0.8450109549660825,47,-0.8467289703914397,39
alarm.bif,5000,-0.35173197172476656,72,-0.35374524522347384,45,-0.4237996278109729,21,-0.3526015422294038,51,-0.35600160313116525,26,-0.3516799398252095,33,-0.3499149587333878,46,-0.35333303192339344,36,-0.3499863563574698,44,-0.35333303192339344,36
alarm.bif,5000,-0.8464772149342105,72,-0.848722438114384,51,-0.9255307811062383,23,-0.8482815243687102,39,-0.894340803422035,29,-0.8470511549731183,33,-0.8465329879382057,45,-0.8486192903324415,36,-0.8462029387793601,43,-0.8486192903324415,36
alarm.bif,5000,-0.3503596594150283,72,-0.35146097537927956,51,-0.4228856320168837,25,-0.3519592455260851,48,-0.3578155376287987,29,-0.3511421838814082,36,-0.35140606367480376,44,-0.3511349784156835,27,-0.35133164435369174,42,-0.35148484021974463,30
alarm.bif,10000,-0.8435962383353446,72,-0.8453075905097895,57,-0.9234296815201879,22,-0.8443044163133933,48,-0.8884480562085846,27,-0.8437194351279977,42,-0.8430977184400941,56,-0.8451221901538806,36,-0.8430843806775156,59,-0.8451221901538806,36
alarm.bif,10000,-0.3491535416184521,72,-0.3500076569450585,54,-0.42268554672902536,25,-0.3498145597496578,54,-0.3574199362403332,33,-0.3501510211497185,42,-0.3493827005733051,43,-0.3492841306487543,33,-0.3493267292279586,43,-0.3492841306487543,33
alarm.bif,10000,-0.8442322324841223,72,-0.8459082336141893,54,-0.9237976176651548,23,-0.8444976463620505,51,-0.8923777757747307,29,-0.8452028961763457,39,-0.8446546552568994,53,-0.8449367372371167,39,-0.8446182190151509,52,-0.8436871277936927,39
alarm.bif,10000,-0.3490702545248242,72,-0.349597644808862,57,-0.42243902332093775,23,-0.3489580875242166,57,-0.3567434131467915,28,-0.349935034160389,39,-0.34863877903831336,40,-0.34859410220990555,27,-0.3486438573403079,43,-0.34859410220990555,27
alarm.bif,10000,-0.8454831838633813,72,-0.8464322014339959,60,-0.9239135670970984,23,-0.8467351940635436,48,-0.8926355621791962,26,-0.845605205641171,45,-0.8448847089675146,57,-0.8445874055486227,36,-0.8448561131396828,60,-0.8445874055486227,36
alarm.bif,10000,-0.3487605359172418,72,-0.349286888155667,57,-0.4227310217849885,23,-0.34932069810290806,57,-0.35719088025596074,29,-0.34878864811070837,42,-0.34838277609453083,39,-0.34837676250339883,30,-0.34843329513489396,40,-0.34837676250339883,30
alarm.bif,10000,-0.8440851244242209,72,-0.8462528915656081,54,-0.9238341483727559,25,-0.8463103790003655,48,-0.8883057416576652,31,-0.8456603035737824,36,-0.8445890930875841,53,-0.8442871293857097,36,-0.8443896571939873,54,-0.8442871293857097,36
alarm.bif,10000,-0.349050806209863,72,-0.34944999682649086,57,-0.4225619570687626,25,-0.3494873482947053,57,-0.3567194938854943,30,-0.35037052177325967,45,-0.3483991182378295,46,-0.34886365619984605,42,-0.3485608524003259,44,-0.34886365619984605,42
alarm.bif,10000,-0.8456131005512972,72,-0.8465221885320924,60,-0.9245274373881226,25,-0.8461466101694568,48,-0.8892169628161682,31,-0.8451725906316034,42,-0.8453628701925457,52,-0.8450394159335108,36,-0.8453211571160908,60,-0.8456343046235317,33
alarm.bif,10000,-0.3501669007697593,72,-0.35190193131565145,48,-0.4225790774654621,25,-0.352404052317125,48,-0.35754620988797425,33,-0.3519904302588575,39,-0.3493669717541426,50,-0.35068850963586295,36,-0.3493722956481104,52,-0.35068850963586295,36
alarm.bif,10000,-0.8436198745373338,72,-0.844864589987074,57,-0.9230038402314557,24,-0.8451286113790067,45,-0.8884949477149577,29,-0.8443994638859303,36,-0.8433320979587868,60,-0.844339883709764,39,-0.8428710010100625,51,-0.8442970211200378,33
alarm.bif,10000,-0.3491537732979898,72,-0.3500161377455543,54,-0.4214208404125443,23,-0.3500176649460551,54,-0.3568041049302178,29,-0.3491959742442356,42,-0.3485300854142069,46,-0.34911455216587695,33,-0.3485206874955019,49,-0.34911455216587695,33
alarm.bif,10000,-0.8447617828125769,72,-0.8463856403159911,57,-0.9240149424006511,23,-0.8466002533391229,45,-0.8877951712904519,31,-0.8458530955760745,36,-0.8440158898489277,52,-0.8453142863500706,30,-0.8441157612842306,56,-0.845281632509823,30
alarm.bif,10000,-0.35015528261982604,72,-0.3511063970996717,51,-0.42195907459506016,24,-0.3512077375614571,51,-0.35712427724181917,30,-0.34961107916700274,39,-0.3507212973503058,39,-0.350780478372635,27,-0.35070220168073846,45,-0.3493042435496199,27
alarm.bif,10000,-0.8438099759321832,72,-0.8453614952678781,57,-0.9241495649958584,25,-0.8455533668320738,45,-0.8932361094163017,29,-0.8452655751555034,39,-0.8453263475577576,51,-0.8444467017737219,36,-0.8452068688533142,58,-0.8452025316340778,33
alarm.bif,10000,-0.34840281996875777,72,-0.3491763536074982,54,-0.4211519850533853,25,-0.34917148315835445,54,-0.3563517416160413,29,-0.348406216162717,42,-0.34874607120039314,45,-0.3480285121010178,36,-0.34875039549578535,44,-0.3480285121010178,36
alarm.bif,10000,-0.8452733066100776,72,-0.8457471567472088,60,-0.9235481778579724,21,-0.8449683302523651,48,-0.8884360272438074,30,-0.8444536313119247,39,-0.8444552401811696,55,-0.8435046759760267,36,-0.8442892039626362,58,-0.8444084920885946,27
alarm.bif,10000,-0.3485700662329025,72,-0.3493941674975025,54,-0.42182800861069025,21,-0.3491181837802528,54,-0.3571876609320265,28,-0.34847290169327166,45,-0.3484330761838143,45,-0.3486965236446817,30,-0.34877224236894616,48,-0.3486965236446817,30
alarm.bif,10000,-0.8444759849958408,72,-0.8462570112166695,57,-0.9241997483306587,25,-0.847110513912414,48,-0.893482289933081,29,-0.8461738390298742,42,-0.8441693136874945,48,-0.8454477039434068,33,-0.8442475615020089,47,-0.8454477039434068,33
alarm.bif,10000,-0.3492245610936724,72,-0.34943113476366744,63,-0.42182147642619855,24,-0.34945525817820355,60,-0.3576996082135369,30,-0.34881167918674516,54,-0.34944787514381287,39,-0.3488754289186695,33,-0.3495611450058956,45,-0.3488754289186695,33
alarm.bif,10000,-0.8444382900581959,72,-0.8459007601956664,54,-0.9237505536417069,23,-0.8457478137928561,42,-0.88858741638701,25,-0.844744574010293,36,-0.8443516884172292,48,-0.8451204070757387,39,-0.8445030194257163,52,-0.8458312060461707,36
alarm.bif,10000,-0.3492074677436476,72,-0.35013622206787764,54,-0.4228226839790977,24,-0.35014607025813915,54,-0.35807153760850463,30,-0.34893997156127377,45,-0.3496139989701509,45,-0.3494230631337625,36,-0.3495203310768579,44,-0.34960658160604896,39
alarm.bif,10000,-0.844536732535678,72,-0.845280847130424,57,-0.923583017322496,25,-0.8455036432188714,45,-0.8927800236476691,29,-0.8450665704903904,39,-0.8439992452032781,56,-0.8455306331512215,30,-0.8441121113576413,55,-0.8455306331512215,30
alarm.bif,10000,-0.35035066919444063,72,-0.35114461373062206,54,-0.42317702498766413,22,-0.35192158501039017,51,-0.35805869114553607,29,-0.3505414342821925,39,-0.35001217055474754,43,-0.3500478955132015,33,-0.3501084790340332,42,-0.3500478955132015,33
alarm.bif,10000,-0.8439133288581048,72,-0.8447512352844844,57,-0.9236158528260942,25,-0.8446079909939773,48,-0.8876961753680774,33,-0.8440512503213802,39,-0.8436922659350806,50,-0.8444359467137948,33,-0.8433968355013287,56,-0.8444359467137948,33
alarm.bif,10000,-0.3500423447241703,72,-0.35074354257203594,54,-0.4219924480099964,22,-0.3509043484051252,54,-0.35684249408789903,28,-0.35011852433925117,36,-0.34945728374084284,39,-0.3495631626690287,24,-0.34945987870543993,39,-0.3495631626690287,24
alarm.bif,10000,-0.8452743734759107,72,-0.8464393009090245,60,-0.9245216093839196,23,-0.8461297129345036,51,-0.8939073581226534,28,-0.8456879420888103,42,-0.8443367071546436,69,-0.8463835804658294,39,-0.8445375741735779,57,-0.8456910145045051,39
alarm.bif,10000,-0.3516019246634956,72,-0.3532372239282697,51,-0.42192327235473676,24,-0.353062280918065,48,-0.3575852680267222,30,-0.35080683426874554,39,-0.35051875204439864,39,-0.350460744631549,24,-0.3510231782774296,37,-0.350460744631549,24
alarm.bif,10000,-0.8450735557802718,72,-0.8452841703807439,60,-0.9241910497365848,25,-0.8457219588739888,48,-0.8880640327823266,31,-0.8450843741102081,39,-0.8445166549669073,60,-0.845017447161793,39,-0.8442062989538698,58,-0.8450661521888368,36
alarm.bif,10000,-0.3502422023563566,72,-0.35088225992325794,54,-0.4232707287800597,24,-0.3515618107814148,51,-0.3575375975796787,28,-0.35066806314233556,42,-0.3501915301327869,48,-0.35090956764901393,30,-0.35024049022411247,49,-0.35090956764901393,30
barley.bif,500,-3.3754629984984503,450,-2.402015123122257,10,-2.4702959400903572,96,-2.402015123122257,10,-2.4702955726964473,96,-2.402015123122257,10,-2.4702962510058057,96,-2.402015123122257,10,-2.470295909589158,96,-2.402015123122257,10
barley.bif,500,-1.8395423754942941,315,-1.7466599707901331,35,-1.6500305460665092,80,-1.7049294004962439,49,-1.6500606962494981,80,-1.7049294004962439,49,-1.5793040322835263,101,-1.5955348921076868,35,-1.5793060085400326,101,-1.5955348921076868,35
barley.bif,500,-0.7992188774339603,4224,-1.4948907978961177,64,-1.1115158531050022,132,-1.4847296832046932,72,-1.0771038905557233,157,-1.4491787324245984,48,-0.41812859091093124,94,-0.5996069140878506,80,-0.419762926900516,97,-0.5996069140878506,80
barley.bif,500,-0.03300935197953618,330,-0.07638789898479084,305,-0.56454895498431,71,-0.5244958887273266,90,-0.3915531350710926,86,-0.5586960008695947,85,-0.022802038069401995,16,-0.09207758156436259,25,-0.02373900773254988,20,-0.09207758156436259,25
barley.bif,500,-1.2712125827651233,175,-1.3277016363462522,25,-1.1963312957433851,54,-1.3159266502147267,45,-1.1879012256457198,50,-1.2789825305907705,35,-1.2163230453211447,79,-1.25375937757909,25,-1.212386180533587,75,-1.25375937757909,25
barley.bif,500,-0.9825229904779087,1890,-0.9774068462302207,90,-0.9245387303542378,66,-0.939750477505926,72,-0.918261130884048,72,-0.9208588079324005,63,-0.8632784390134788,107,-1.0045225087395169,54,-0.8618997311813484,113,-1.0163251700736615,45
barley.bif,500,-0.5935412999386601,810,-1.2476623440435308,162,-1.2209170887567249,95,-1.3151201973269233,72,-1.080735510254839,129,-1.2152655505789112,81,-0.5844727529686342,98,-0.8786336121527224,81,-0.5881206651445293,107,-0.8786336121527224,81
barley.bif,500,-0.03673900646993817,540,-0.9663263960820172,60,-0.6195495966070297,78,-0.8604890763558702,78,-0.5391558434989216,105,-0.8810945694085447,60,-0.03474527655597244,64,-0.2711008381811691,66,-0.03470298135672943,75,-0.24454934152682686,66
barley.bif,500,-0.16657693263966358,729,-1.149143700065804,81,-0.6483362489725131,93,-1.0207075812184407,117,-0.45420675551950007,156,-0.8363607018885314,108,-0.14818226005764532,42,-0.3157496399494788,72,-0.1480453585692691,53,-0.3157496399494788,72
barley.bif,500,-0.0974659417201449,420,-0.513312097554351,96,-0.45436341549203574,65,-0.6626851585284576,66,-0.3892935527001772,77,-0.5977700753400682,60,-0.048632281152883865,30,-0.1762509558751859,48,-0.04881814493475892,45,-0.1649887276698662,54
barley.bif,500,-3.4830970115084803,26460,-1.74998563066887,42,-1.7102168869573695,149,-1.7775567355845967,35,-1.7026404849010155,145,-1.7736191961359042,35,-1.7473000914691006,145,-1.6860468115911582,42,-1.7418178706660001,147,-1.6860468115911582,42
barley.bif,500,-2.800145398166099,2880,-1.530509751563862,36,-1.5432542245472214,91,-1.5335909105513275,42,-1.5639587946618079,97,-1.530789052311696,36,-1.5618534703463693,96,-1.551378806730648,36,-1.5843465808547705,97,-1.551378806730648,36
barley.bif,500,-3.3043674522035973,3840,-1.9005218667164696,8,-1.749199356360203,130,-1.7829822441253815,32,-1.744681632929272,124,-1.785461753627558,32,-1.7172456694392484,126,-1.6301504698634854,32,-1.7173580097461196,128,-1.6301504698634854,32
barley.bif,500,-0.8894837876373233,1764,-0.5211817432167045,180,-0.65478589177483,60,-0.6396731070190477,76,-0.5597284253672636,87,-0.6289121722356436,64,-0.5136500063984436,79,-0.510219832900932,28,-0.5105630621755384,92,-0.510219832900932,28
